Coin,Ruling,PoW,Ethereum_Blockchain,PoS,Speculation,Staking,Swap_Platform,Liquidity,Lending,Borrowing,Prediction_Market,Leverage,Margin,Yield_Farming,Governance,Financial_Project,Technical_Project,Services_Project,DeFi
bsv,Halal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amp,Halal,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
grt,Halal,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
xdc,Halal,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
dock,Halal,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
veri,Halal,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
pond,Halal,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
cqt,Halal,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
fio,Halal,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
sbd,Halal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tru,Haram,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1
sushi,Haram,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1
rune,Haram,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1
reef,Haram,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1
spirit,Haram,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0
uft,Haram,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1
snx,Haram,0,1,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1
mqqq,Haram,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1
rep,Haram,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1
ray,Haram,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1
